M,k,N,seed,sample_mean,sample_sd,skewness,excess_kurtosis
100,100,3000,2026,0.1289610960,3.8204846464e-03,0.6136,0.5785
300,300,3000,2026,0.1036194764,1.6294349688e-03,0.2700,0.1225
1000,1000,1000,2026,0.0851096719,6.3504644085e-04,0.1565,-0.1717
